Model,MLI,SD,AG,MSE,PSNR,EN,MI,NCIE,SCD,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge,QABF_fast,QABF,LABF,NABF,NABF1,SF,SSIM,MS_SSIM,Q,Qw,Qe,VIF,VIFF,CC,Qp
APGFusion,81.938136,90.298518,11.704068,0.054209,15.852169,5.518576,3.614064,0.810182,1.582753,0.650534,0.402661,0.498803,0.875201,0.755613,0.946048,0.039706,0.014246,0.278577,35.316557,0.645164,0.927413,0.909493,0.938979,0.896468,0.779444,0.564121,0.817267,0.591037
ATDFusion,56.783499,67.144446,8.843903,0.040268,15.179709,5.504776,2.848407,0.806506,0.354896,0.616481,0.375887,0.348956,0.851753,0.607366,0.847557,0.147079,0.005364,0.061150,28.009131,0.584379,0.886810,0.831035,0.848090,0.705099,0.537843,0.425219,0.779476,0.434469
CDDFuse,81.309900,89.534631,11.562108,0.054116,16.526830,5.615252,3.679506,0.810639,1.585053,0.643739,0.422504,0.468042,0.872401,0.734387,0.925156,0.057868,0.016977,0.377272,35.312413,0.645409,0.912272,0.904153,0.932193,0.885224,0.755720,0.527165,0.811185,0.597315
CENet,86.351224,91.117659,11.901689,0.062391,15.740015,5.928329,3.357973,0.808759,1.493974,0.571235,0.422348,0.404846,0.836193,0.712202,0.907664,0.081034,0.011302,0.489021,37.820667,0.520051,0.865697,0.867503,0.898837,0.844490,0.648118,0.472457,0.797621,0.631530
CM-CSAMFNet,83.792622,90.320899,10.760194,0.059140,16.831380,5.509162,3.682247,0.810259,1.625758,0.662887,0.458194,0.500050,0.862965,0.742640,0.915483,0.077958,0.006559,0.336089,33.106712,0.638832,0.879027,0.891077,0.917408,0.881099,0.739141,0.475954,0.798763,0.684941
CMMDL,82.345500,87.466145,11.410416,0.053702,15.861761,6.012118,3.229276,0.808013,1.402362,0.492926,0.357611,0.321074,0.865560,0.734903,0.940835,0.050122,0.009043,0.295243,35.201556,0.339251,0.922709,0.812894,0.931975,0.884193,0.685890,0.547519,0.810171,0.549302
DATFuse,82.623031,74.163438,11.358026,0.048347,14.061792,5.993869,2.778487,0.806077,0.832612,0.426868,0.178333,0.282156,0.798590,0.540555,0.778491,0.202410,0.019098,0.217928,46.007683,0.277990,0.846246,0.446302,0.696007,0.410597,0.412385,0.390841,0.805546,0.305324
DeDNet,55.350737,31.981020,4.345992,0.058321,12.391276,6.115454,1.747781,0.803734,-0.562993,0.105124,0.137628,0.137378,0.807975,0.112822,0.245176,0.752112,0.002712,0.013827,16.170486,0.075729,0.459698,0.192062,0.316249,0.041884,0.146389,0.103956,0.707465,0.073810
Diff-IF,81.039970,88.915805,11.442445,0.053428,15.896728,5.370930,4.024451,0.811671,1.465319,0.651251,0.392746,0.508774,0.877635,0.729430,0.934887,0.051553,0.013560,0.152558,35.228418,0.644884,0.918217,0.895537,0.928371,0.890250,0.795186,0.537393,0.812027,0.531654
FRAC-HCM,97.247716,42.377635,5.415790,0.067470,12.275297,4.758170,4.383485,0.814085,-0.285891,0.653996,0.360054,0.497681,0.879462,0.320714,0.562965,0.436657,0.000377,0.000941,16.925668,0.226732,0.726209,0.393953,0.678917,0.318389,0.656654,0.223545,0.802278,0.492472
GeSeNet,80.517537,85.105169,11.010541,0.051120,15.965520,6.045129,3.147138,0.807593,1.276306,0.536856,0.335424,0.358627,0.860499,0.731668,0.930818,0.061392,0.007790,0.261370,33.979939,0.334871,0.924815,0.730231,0.930990,0.862160,0.665007,0.538917,0.807814,0.546496
IGNet,54.757806,58.597344,7.337062,0.032686,14.929705,6.685111,2.208166,0.804568,0.437052,0.279514,0.226500,0.196648,0.840211,0.457956,0.758994,0.238706,0.002300,0.014313,19.593722,0.275001,0.884982,0.519197,0.688483,0.464515,0.496532,0.449043,0.837958,0.377640
LKC-FUNet,82.791757,88.742546,10.582163,0.055791,16.194007,6.363430,2.931711,0.807090,1.461586,0.448275,0.411390,0.328552,0.862381,0.700178,0.924194,0.068211,0.007596,0.159847,30.482102,0.389527,0.909431,0.829870,0.925405,0.863895,0.627011,0.533424,0.805763,0.564595
LRFNet,56.920913,66.636769,7.842855,0.030784,15.783507,5.094990,3.210604,0.807843,0.761777,0.642791,0.418892,0.369196,0.860299,0.645227,0.877944,0.121980,0.000076,0.000749,24.610232,0.583288,0.887900,0.799846,0.791594,0.675061,0.635193,0.432861,0.844550,0.556068
LWNet,75.506852,82.220087,9.935926,0.044465,16.498766,5.487319,3.458008,0.808902,1.257458,0.641369,0.352339,0.438516,0.857493,0.698612,0.900621,0.098376,0.001004,0.020032,32.361126,0.629041,0.921483,0.894750,0.915236,0.808531,0.709365,0.517665,0.816353,0.525648
MMIF-DDFM,63.141952,74.606134,7.107677,0.028908,15.519902,5.361905,4.035273,0.811255,1.296337,0.644760,0.439525,0.487160,0.849443,0.555528,0.834340,0.165613,0.000047,0.000150,21.416482,0.581296,0.911720,0.813463,0.733616,0.503331,0.694004,0.532184,0.869115,0.505397
MMIF-INet,64.832577,76.655854,9.718189,0.035897,15.483511,5.376941,2.487260,0.805349,1.070318,0.575793,0.373322,0.364581,0.845472,0.628605,0.882303,0.106085,0.011612,0.111544,30.188542,0.511906,0.897798,0.824762,0.827466,0.747572,0.519132,0.482751,0.828175,0.429626
PSLPT,53.979958,65.260743,6.134098,0.028572,15.617303,5.505520,2.668578,0.805617,0.895693,0.534580,0.386547,0.307676,0.832956,0.362654,0.622537,0.377324,0.000139,0.000657,18.103426,0.420937,0.851903,0.731020,0.601206,0.319141,0.554766,0.439714,0.864461,0.469768
SD-Fuse,71.254089,80.084593,9.921336,0.046030,18.106645,5.510766,3.477758,0.809491,0.920146,0.672511,0.463985,0.477776,0.854658,0.737743,0.906558,0.091778,0.001664,0.041909,30.436318,0.628656,0.846912,0.872033,0.886979,0.823447,0.723916,0.411953,0.787215,0.674290
SWTSWR,75.184307,82.403548,11.120149,0.054392,31.274279,4.692839,5.035921,0.822175,0.253366,0.685966,0.538867,0.499499,0.887836,0.794017,0.912163,0.087830,0.000007,0.000649,34.510352,0.375660,0.818824,0.840949,0.905857,0.896961,1.042152,0.389004,0.758938,0.811471
SwinFusion,80.681578,89.551990,11.085833,0.052149,15.836482,5.490983,3.270750,0.808441,1.557397,0.632648,0.422513,0.405547,0.869598,0.721874,0.933208,0.058638,0.008154,0.239670,33.744335,0.622979,0.934010,0.903084,0.936800,0.878268,0.713380,0.570133,0.819998,0.552378
TSFI-Fusion,86.028734,89.226094,10.195448,0.053552,14.533106,6.180554,3.618030,0.809301,1.558489,0.467727,0.381984,0.335249,0.846479,0.684552,0.885972,0.107106,0.006922,0.215784,33.208977,0.316328,0.928183,0.569777,0.909235,0.817417,0.639690,0.566633,0.835679,0.458507
UUD-Fusion,65.652887,74.914505,6.602421,0.031076,15.156723,6.048743,3.415114,0.808208,1.323259,0.489395,0.368612,0.323419,0.833823,0.380901,0.648463,0.346144,0.005393,0.023360,19.269400,0.275749,0.887013,0.537788,0.661305,0.336848,0.674109,0.489923,0.865961,0.441857
YDTR,97.111809,69.450671,8.219165,0.055346,13.322376,5.862253,2.840773,0.806445,0.914831,0.416623,0.349587,0.283744,0.838205,0.518625,0.776349,0.220394,0.003257,0.031157,27.923375,0.292577,0.890948,0.484524,0.834631,0.601138,0.489444,0.470290,0.846389,0.412851
