Model,MLI,SD,AG,MSE,PSNR,EN,MI,NCIE,SCD,FMI_pixel,FMI_dct,FMI_wavelet,FMI_edge,QABF_fast,QABF,LABF,NABF,NABF1,SF,SSIM,MS_SSIM,Q,Qw,Qe,VIF,VIFF,CC,Qp
APGFusion,49.033435,62.365999,7.127754,0.017318,21.902100,5.054380,3.729000,0.810228,1.471890,0.677140,0.396407,0.489544,0.886527,0.737962,0.924570,0.048637,0.026793,0.372450,22.494274,0.642749,0.953338,0.914518,0.917075,0.884409,0.783791,0.557757,0.867692,0.621587
CDDFuse,46.760824,60.285350,6.957819,0.017745,26.524629,5.004584,4.445547,0.814523,1.099141,0.678905,0.445428,0.449462,0.889786,0.758470,0.912506,0.056701,0.030792,0.556622,22.327313,0.623252,0.917376,0.897933,0.908557,0.887731,0.956509,0.487856,0.842860,0.711290
CENet,55.971165,68.183525,7.548587,0.025191,18.797332,5.428618,3.794698,0.810372,1.548954,0.619174,0.397788,0.383439,0.860844,0.717551,0.906486,0.055208,0.038306,0.630689,24.670367,0.522397,0.917953,0.874158,0.864276,0.833074,0.757568,0.580483,0.856966,0.622133
CM-CSAMFNet,61.315366,75.196418,6.532750,0.031531,16.484415,5.205866,3.486155,0.808651,1.868462,0.667473,0.404226,0.497059,0.862814,0.679826,0.894048,0.082733,0.023219,0.352213,20.458989,0.617588,0.950006,0.878449,0.862273,0.814558,0.664781,0.668730,0.885915,0.581565
CMMDL,58.117609,68.330077,7.252652,0.024009,18.051821,5.613183,3.187712,0.807640,1.723080,0.454924,0.330392,0.283139,0.868068,0.709995,0.924754,0.047511,0.027735,0.443196,22.919631,0.291195,0.953650,0.767522,0.881432,0.855738,0.651300,0.646522,0.883360,0.542550
DATFuse,60.927095,54.715738,6.311301,0.019743,18.000801,5.289782,3.298126,0.807792,0.943982,0.567492,0.247604,0.324201,0.836645,0.583127,0.811180,0.171120,0.017699,0.210937,23.738559,0.252123,0.912734,0.445362,0.781638,0.594672,0.490324,0.461403,0.880588,0.404690
DeDNet,51.868034,33.048383,3.562338,0.021054,16.865207,5.772802,2.055062,0.804405,-0.436064,0.125243,0.143465,0.136941,0.824199,0.171934,0.361554,0.626308,0.012138,0.047921,12.264175,0.101368,0.631400,0.247676,0.426039,0.082412,0.229327,0.185313,0.798197,0.112327
Diff-IF,48.456247,61.141934,7.040885,0.016784,22.520313,5.009292,3.875344,0.810885,1.320449,0.681187,0.384353,0.496668,0.882657,0.734653,0.925594,0.050559,0.023847,0.168640,22.041255,0.639076,0.945531,0.907703,0.909212,0.880025,0.786836,0.530050,0.864045,0.617425
FRAC-HCM,65.934213,38.768854,4.096990,0.024622,16.662439,4.481116,4.530303,0.813719,-0.175156,0.676865,0.317165,0.485359,0.855474,0.537923,0.745485,0.253620,0.000896,0.002910,13.227772,0.226080,0.859173,0.407972,0.725705,0.424770,0.612539,0.293943,0.867454,0.492397
GeSeNet,51.833038,62.156466,6.888646,0.017634,20.573705,5.459744,3.333353,0.808212,1.447021,0.591573,0.329073,0.350717,0.872266,0.721591,0.920884,0.058731,0.020385,0.307359,21.872749,0.304852,0.960392,0.715314,0.905282,0.857761,0.666597,0.582520,0.875554,0.559757
IGNet,42.853284,42.179765,4.761623,0.011756,19.605447,6.539967,2.395325,0.805209,0.100995,0.265728,0.232742,0.184248,0.852924,0.473621,0.789017,0.207499,0.003484,0.018130,13.466238,0.247191,0.902997,0.516806,0.784653,0.525379,0.472328,0.428085,0.870995,0.386042
LKC-FUNet,55.595277,68.895306,6.807638,0.023837,18.457902,5.898653,2.953918,0.806867,1.657182,0.481037,0.375396,0.297772,0.866046,0.662756,0.906880,0.063951,0.029169,0.358888,20.411635,0.390642,0.948487,0.795883,0.890480,0.835021,0.607285,0.664119,0.873395,0.520542
LRFNet,54.093121,68.393154,6.749084,0.021498,18.659439,4.912119,3.306700,0.807825,1.777098,0.659685,0.395305,0.363780,0.865949,0.679038,0.902569,0.069328,0.028103,0.389849,22.284762,0.515319,0.955250,0.772779,0.880694,0.831303,0.630362,0.638493,0.889762,0.568634
LWNet,46.355699,58.291937,6.260876,0.013947,21.747492,4.970975,3.509491,0.808852,1.166943,0.667555,0.390510,0.429397,0.866922,0.697526,0.910011,0.081288,0.008701,0.085944,20.332942,0.612126,0.959169,0.894253,0.903483,0.832694,0.675047,0.545211,0.876271,0.556743
MMIF-DDFM,49.772467,62.035541,4.969706,0.015071,18.990957,4.938919,3.677668,0.809136,1.596799,0.662246,0.402008,0.468861,0.861068,0.577180,0.861356,0.134298,0.004346,0.020999,15.808815,0.604052,0.950070,0.855540,0.821922,0.624051,0.531826,0.625744,0.911536,0.413000
MMIF-INet,53.411488,67.604351,6.628313,0.020733,17.865307,5.152926,2.852344,0.806293,1.641582,0.614711,0.366383,0.364867,0.856535,0.625647,0.898204,0.073920,0.027876,0.261459,20.971809,0.539032,0.943135,0.868363,0.858346,0.782335,0.535974,0.679794,0.892810,0.446826
PSLPT,37.634823,46.588523,4.037680,0.008968,20.733924,5.143737,2.754825,0.806006,0.677056,0.494448,0.362683,0.261851,0.856977,0.425175,0.718463,0.281235,0.000303,0.001312,12.654748,0.405925,0.900840,0.798279,0.738484,0.431977,0.499966,0.430294,0.907969,0.403559
SD-Fuse,46.094871,58.617087,6.282058,0.015040,21.689216,4.920181,3.647096,0.809622,1.046849,0.691592,0.431825,0.510410,0.869973,0.708395,0.896717,0.098059,0.005224,0.046622,20.310730,0.635321,0.936112,0.899964,0.900022,0.827047,0.736761,0.510640,0.865286,0.583852
SWTSWR,46.268215,59.041607,6.879628,0.017674,31.697009,4.097173,4.719481,0.817849,0.090417,0.715325,0.532394,0.502052,0.894858,0.770892,0.910479,0.084968,0.004554,0.076820,22.190450,0.303008,0.906377,0.844114,0.907527,0.890479,1.037850,0.466363,0.837088,0.746657
TSFI-Fusion,54.919642,63.238471,6.378163,0.018517,19.234861,5.765354,3.343281,0.808114,1.558797,0.503949,0.373379,0.318099,0.869705,0.688237,0.903305,0.084336,0.012360,0.101017,20.310974,0.299916,0.962211,0.591417,0.894213,0.819434,0.643000,0.614118,0.889873,0.512075
UUD-Fusion,51.958762,59.461018,4.146945,0.015604,18.495243,5.650355,3.065346,0.806859,1.482991,0.501590,0.331480,0.285775,0.845962,0.374605,0.647428,0.348553,0.004019,0.017068,12.682197,0.266829,0.886846,0.601990,0.704637,0.341747,0.495975,0.479506,0.910276,0.314152
YDTR,64.866336,38.504700,3.999981,0.022045,16.776515,5.067598,3.024675,0.806799,-0.024343,0.523192,0.327106,0.282508,0.844092,0.391107,0.650776,0.348619,0.000605,0.003170,13.660166,0.231998,0.871227,0.406173,0.735560,0.399137,0.468102,0.347649,0.888783,0.421589
